hotel_ID,property_feature
Seda Bonifacio Global City,Internet access – wireless
Seda Bonifacio Global City,Ironing facilities
Seda Bonifacio Global City,Linens
Seda Bonifacio Global City,Microwave
Seda Bonifacio Global City,Mini bar
Seda Bonifacio Global City,Non-smoking
Seda Bonifacio Global City,Private bathroom
Seda Bonifacio Global City,Refrigerator
Seda Bonifacio Global City,Satellite/cable channels
Seda Bonifacio Global City,Shower
Seda Bonifacio Global City,Slippers
Seda Bonifacio Global City,Smoke detector
Seda Bonifacio Global City,Telephone
Seda Bonifacio Global City,Toiletries
Seda Bonifacio Global City,Towels
Seda Bonifacio Global City,Wi-Fi [free]
Seda Bonifacio Global City,Cuisine: International
Seda Bonifacio Global City,Menu: Buffet
F1 Hotel Manila,Wheelchair accessible
F1 Hotel Manila,Free Wi-Fi in all rooms!
F1 Hotel Manila,Internet
F1 Hotel Manila,Wi-Fi in public areas
F1 Hotel Manila,Fitness center
F1 Hotel Manila,Garden
F1 Hotel Manila,Massage
F1 Hotel Manila,Swimming pool [outdoor]
F1 Hotel Manila,Cashless payment service
F1 Hotel Manila,Daily disinfection in all rooms
F1 Hotel Manila,Daily disinfection in common areas
F1 Hotel Manila,Face coverings on staff
F1 Hotel Manila,First aid kit
F1 Hotel Manila,Free face masks
F1 Hotel Manila,Hand sanitizer
F1 Hotel Manila,Hot water linen and laundry washing
F1 Hotel Manila,Individually-wrapped food options
F1 Hotel Manila,Physical distancing of at least 1 meter
F1 Hotel Manila,Protective screens in common areas
F1 Hotel Manila,Rooms sanitized between stays
F1 Hotel Manila,Staff trained in safety protocol
F1 Hotel Manila,Temperature check for guests and staff
F1 Hotel Manila,Bar
F1 Hotel Manila,Breakfast [buffet]
F1 Hotel Manila,Breakfast [continental]
F1 Hotel Manila,Breakfast [free]
F1 Hotel Manila,Coffee shop
F1 Hotel Manila,Happy hour
F1 Hotel Manila,Poolside bar
F1 Hotel Manila,Restaurants
F1 Hotel Manila,Room service [24-hour]
F1 Hotel Manila,Cash withdrawal
F1 Hotel Manila,Concierge
F1 Hotel Manila,Contactless check-in/out
F1 Hotel Manila,Currency exchange
F1 Hotel Manila,Daily housekeeping
F1 Hotel Manila,Dry cleaning
F1 Hotel Manila,Elevator
F1 Hotel Manila,Facilities for disabled guests
F1 Hotel Manila,Laundry service
F1 Hotel Manila,Luggage storage
F1 Hotel Manila,Meeting/banquet facilities
F1 Hotel Manila,Safety deposit boxes
F1 Hotel Manila,Salon
F1 Hotel Manila,Smoke-free property
F1 Hotel Manila,Smoking area
F1 Hotel Manila,Xerox/fax in business center
F1 Hotel Manila,Swimming pool [kids]
F1 Hotel Manila,Golf course (within 3 km)
F1 Hotel Manila,CCTV in common areas
F1 Hotel Manila,CCTV outside property
F1 Hotel Manila,Check-in/out [express]
F1 Hotel Manila,Check-in/out [private]
F1 Hotel Manila,Check-in [24-hour]
F1 Hotel Manila,Fire extinguisher
F1 Hotel Manila,Front desk [24-hour]
F1 Hotel Manila,Non-smoking rooms
F1 Hotel Manila,Pets allowed
F1 Hotel Manila,Security [24-hour]
F1 Hotel Manila,Smoke alarms
F1 Hotel Manila,Airport transfer
F1 Hotel Manila,Car park [nearby]
F1 Hotel Manila,Car park [on-site]
F1 Hotel Manila,Rental car
F1 Hotel Manila,Taxi service
F1 Hotel Manila,Air conditioning
F1 Hotel Manila,Bathrobes
F1 Hotel Manila,Coffee/tea maker
F1 Hotel Manila,Daily housekeeping
F1 Hotel Manila,Desk
F1 Hotel Manila,Free bottled water
F1 Hotel Manila,Hair dryer
F1 Hotel Manila,In-room safe box
F1 Hotel Manila,Ironing facilities
F1 Hotel Manila,LAN Internet in room [free]
F1 Hotel Manila,Linens
F1 Hotel Manila,Mini bar
F1 Hotel Manila,Mirror
F1 Hotel Manila,Non-smoking
F1 Hotel Manila,Private bathroom
F1 Hotel Manila,Refrigerator
